player_id,player_name,age,nationality,team,jersey_number,position,height_cm,weight_kg,preferred_foot,club_name,market_value_eur,match_id,match_date,stadium,city,opponent_team,tournament_stage,match_result,goals_team,goals_opponent,minutes_played,goals,assists,shots,shots_on_target,expected_goals_xg,expected_assists_xa,key_passes,successful_passes,total_passes,pass_accuracy,dribbles_attempted,successful_dribbles,crosses,successful_crosses,tackles,interceptions,clearances,blocks,aerial_duels_won,aerial_duels_lost,recoveries,defensive_actions,fouls_committed,fouls_suffered,yellow_cards,red_cards,offsides,saves,save_percentage,punches,clean_sheet,goals_conceded,penalty_saves,distance_covered_km,sprint_distance_km,top_speed_kmh,accelerations,decelerations,stamina_score,player_rating,performance_score,offensive_contribution,defensive_contribution,possession_impact,pressure_resistance,creativity_score,consistency_score,clutch_performance_score,total_goals_tournament,total_assists_tournament,total_minutes_tournament,player_of_match_awards,tournament_rating
P00055,Rodri Fati,26,Spanish,Spain,3,Goalkeeper,195,75,Left,RB Salzburg,4384884,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,72,0,0,0,0,0.0,0.0,0,15,26,0.59,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0.83,0,1,0,0,7.8,0.7,26.5,13,23,81.9,5.6,50.9,3.3,48.2,1.1,44.2,55.9,42.0,51.8,0,0,242,0,5.8
P00070,Ansu Le Normand,19,Spanish,Spain,18,Midfielder,178,75,Right,Chelsea,4918927,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,90,0,0,0,0,0.01,0.0,1,35,40,0.89,1,0,1,0,0,1,3,1,2,0,2,5,0,1,0,0,0,0,0.0,0,0,0,0,10.4,1.1,29.0,19,17,85.5,5.7,55.9,37.9,29.4,3.5,38.2,43.7,31.1,52.7,0,3,342,0,5.5
P00066,Gavi Ramos,18,Spanish,Spain,14,Midfielder,177,72,Left,AIK,125015698,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,73,1,0,2,0,0.08,0.07,2,72,85,0.85,0,0,3,0,1,1,0,0,1,2,4,2,0,0,0,0,0,0,0.0,0,0,0,0,8.8,1.3,33.7,30,19,88.8,8.3,82.9,79.8,78.6,15.3,99.0,99.0,83.4,54.8,1,1,245,0,8.4
P00073,Pedro Cubarsi,20,Spanish,Spain,21,Forward,182,74,Right,PSV Eindhoven,11805512,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,80,1,1,5,2,0.0,0.21,0,12,19,0.67,1,0,0,0,1,1,1,0,3,0,1,3,0,1,0,0,0,0,0.0,0,0,0,0,9.6,1.0,32.1,26,19,89.2,6.9,67.5,47.3,6.9,1.2,19.8,42.3,40.9,78.5,5,3,422,0,6.7
P00059,Alvaro Oyarzabal,23,Spanish,Spain,7,Defender,191,81,Left,Juventus,13325174,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,79,0,0,1,0,0.0,0.0,1,33,44,0.76,2,1,0,0,1,3,0,2,1,2,4,6,0,0,0,0,0,0,0.0,0,0,0,0,7.5,0.7,30.5,23,18,73.6,5.7,55.4,33.0,75.6,6.2,44.1,33.5,60.0,56.6,0,0,440,0,5.7
P00072,Dani Gavi,21,Spanish,Spain,20,Midfielder,181,78,Right,Dinamo Zagreb,34588916,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,90,0,0,1,0,0.01,0.46,1,94,100,0.94,4,1,6,1,1,2,1,0,2,1,8,4,2,3,0,0,0,0,0.0,0,0,0,0,9.7,1.1,28.5,25,27,96.7,6.6,72.1,99.0,85.0,17.0,65.4,85.8,91.1,48.2,1,2,332,0,6.7
P00058,Rodri Laporte,27,Spanish,Spain,6,Defender,188,80,Right,Legia Warsaw,12330574,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,79,0,0,0,0,0.0,0.01,0,44,59,0.75,1,0,1,0,3,3,1,2,1,0,4,9,1,1,0,0,0,0,0.0,0,0,0,0,7.9,0.7,32.4,28,17,83.7,6.7,65.3,43.2,85.6,6.4,48.7,15.3,61.8,55.1,0,1,264,0,7.0
P00078,Ansu Fati,27,Spanish,Spain,26,Forward,182,72,Right,Red Star Belgrade,2617484,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,77,1,0,1,0,0.0,0.0,1,17,20,0.86,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,8.2,0.9,30.6,17,28,94.2,6.8,70.9,50.4,24.2,2.4,48.2,35.6,60.9,60.4,2,1,191,0,6.8
P00056,Pedro Torres,24,Spanish,Spain,4,Defender,176,78,Left,Legia Warsaw,15191371,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,71,0,0,0,0,0.0,0.0,1,36,47,0.77,0,0,1,0,3,3,4,0,2,0,3,10,0,1,0,0,0,0,0.0,0,0,0,0,8.6,1.2,32.8,18,10,96.4,6.4,63.2,29.3,70.5,6.4,52.7,31.3,68.3,59.2,0,0,324,0,6.7
P00074,Gavi Le Normand,25,Spanish,Spain,22,Forward,172,70,Right,Galatasaray,27469713,M00001,2026-07-10,Hard Rock Stadium,Miami,South Africa,Group Stage,W,1,0,82,0,0,3,1,1.19,0.11,2,39,51,0.77,4,2,1,0,0,0,0,0,2,2,4,0,0,0,1,0,1,0,0.0,0,0,0,0,6.9,1.0,29.5,31,24,86.7,6.3,61.3,79.9,12.8,11.1,99.0,68.8,92.1,47.6,1,3,547,0,5.7
